size,roi,dist_to_L_ERC,dist_to_R_ERC
4649,L_ERC,,
4205,R_ERC,,
2725,R_Noise,57.816892212967154,28.60043027934679
1720,R_Tau,49.38069771132956,14.566126550191607
1913,L_noise,30.71431850067608,58.712850962287376
2361,L_tau,16.800704461199444,49.2272865908055
